nobel_laureate_id,laureate_full_name,known_name,author_id,author_full_name_from_authorships,pair_id,paper_id,patent_id
906,Isamu Akasaki,Isamu Akasaki,https://openalex.org/A5081597179,Isamu Akasaki,W2121395191|US-6188087,W2121395191,US-6188087
986,Michael Houghton,Michael Houghton,https://openalex.org/A5090612228,Michael Houghton,W1729315479|US-6190864,W1729315479,US-6190864
986,Michael Houghton,Michael Houghton,https://openalex.org/A5090612228,Michael Houghton,W1979919755|US-6194140,W1979919755,US-6194140
825,Luc Montagnier,Luc Montagnier,https://openalex.org/A5016871448,Luc Montagnier,W2030676469|US-6194142,W2030676469,US-6194142
408,Howard Martin Temin,Howard M. Temin,https://openalex.org/A5111998828,Howard M. Temin,W2030676469|US-6194142,W2030676469,US-6194142
278,Kary B. Mullis,Kary B. Mullis,https://openalex.org/A5073738482,Kary B. Mullis,W2032118018|US-6197563,W2032118018,US-6197563
932,Sir J. Fraser Stoddart,Sir J. Fraser Stoddart,https://openalex.org/A5027688873,J. Fraser Stoddart,W2144087168|US-6198655,W2144087168,US-6198655
932,Sir J. Fraser Stoddart,Sir J. Fraser Stoddart,https://openalex.org/A5027688873,J. Fraser Stoddart,W2063782027|US-6198655,W2063782027,US-6198655
792,John L. Hall,John L. Hall,https://openalex.org/A5009444030,J. L. Hall,W2019936953|US-6201638,W2019936953,US-6201638
792,John L. Hall,John L. Hall,https://openalex.org/A5009444030,J. L. Hall,W1536055832|US-6201638,W1536055832,US-6201638
252,Herbert C. Brown,Herbert C. Brown,https://openalex.org/A5113728728,Herbert C. Brown,W2952427861|US-6204405,W2952427861,US-6204405
1029,Moungi G. Bawendi,Moungi Bawendi,https://openalex.org/A5108389294,Moungi G. Bawendi,W2044543075|US-6207229,W2044543075,US-6207229
1029,Moungi G. Bawendi,Moungi Bawendi,https://openalex.org/A5108389294,Moungi G. Bawendi,W2334937648|US-6207229,W2334937648,US-6207229
1029,Moungi G. Bawendi,Moungi Bawendi,https://openalex.org/A5108389294,Moungi G. Bawendi,W1971745659|US-6207229,W1971745659,US-6207229
837,Jack W. Szostak,Jack W. Szostak,https://openalex.org/A5023274897,Jack W. Szostak,W2028493269|US-6207446,W2028493269,US-6207446
729,Alan J. Heeger,Alan Heeger,https://openalex.org/A5087631107,Alan J. Heeger,W2122100171|US-6208006,W2122100171,US-6208006
1002,Benjamin List,Benjamin List,https://openalex.org/A5040055598,Benjamin List,W2062784766|US-6210938,W2062784766,US-6210938
1002,Benjamin List,Benjamin List,https://openalex.org/A5040055598,Benjamin List,W2071011237|US-6210938,W2071011237,US-6210938
1002,Benjamin List,Benjamin List,https://openalex.org/A5040055598,Benjamin List,W2140864818|US-6210938,W2140864818,US-6210938
1002,Benjamin List,Benjamin List,https://openalex.org/A5040055598,Benjamin List,W2086518019|US-6210938,W2086518019,US-6210938
1002,Benjamin List,Benjamin List,https://openalex.org/A5040055598,Benjamin List,W4249119142|US-6210938,W4249119142,US-6210938
1002,Benjamin List,Benjamin List,https://openalex.org/A5040055598,Benjamin List,W1969693051|US-6210938,W1969693051,US-6210938
1002,Benjamin List,Benjamin List,https://openalex.org/A5040055598,Benjamin List,W1994289015|US-6210938,W1994289015,US-6210938
1002,Benjamin List,Benjamin List,https://openalex.org/A5040055598,Benjamin List,W2026658529|US-6210938,W2026658529,US-6210938
1002,Benjamin List,Benjamin List,https://openalex.org/A5040055598,Benjamin List,W1972409212|US-6210938,W1972409212,US-6210938
1002,Benjamin List,Benjamin List,https://openalex.org/A5040055598,Benjamin List,W1556223086|US-6210938,W1556223086,US-6210938
795,Robert H. Grubbs,Robert H. Grubbs,https://openalex.org/A5078597191,Robert H. Grubbs,W1999748098|US-6211391,W1999748098,US-6211391
1052,John M. Martinis,John M. Martinis,https://openalex.org/A5043106778,John M. Martinis,W2119921915|US-6211519,W2119921915,US-6211519
837,Jack W. Szostak,Jack W. Szostak,https://openalex.org/A5023274897,Jack W. Szostak,W2028493269|US-6214553,W2028493269,US-6214553
986,Michael Houghton,Michael Houghton,https://openalex.org/A5090612228,Michael Houghton,W1729315479|US-6214583,W1729315479,US-6214583
275,Elias James Corey,Elias James Corey,https://openalex.org/A5062182194,E. J. Corey,W1990449071|US-6214862,W1990449071,US-6214862
